equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_CARRO_ARMATO_M13/40,Carro Armato M13/40,tanks,37,tanks,35,2,94
ITA_CARRO_ARMATO_L3/35_TANKETTE,Carro Armato L3/35 Tankette,tanks,132,tanks,124,8,93
ITA_AUTOBLINDA_AB40,Autoblinda AB40,armored_cars,28,armored_cars,26,2,92
ITA_LANCIA_1ZM,Lancia 1ZM,armored_cars,4,armored_cars,4,0,100
ITA_FIAT_626,Fiat 626,trucks,968,trucks,968,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,522,trucks,522,0,100
ITA_FIAT_634,Fiat 634,trucks,522,trucks,522,0,100
ITA_FIAT_618,Fiat 618,trucks,23,trucks,23,0,100
ITA_ALFA_ROMEO_430,Alfa Romeo 430,trucks,250,trucks,250,0,100
ITA_FIAT_SPA_38R,Fiat-SPA 38R,trucks,137,trucks,137,0,100
ITA_FIAT_SPA_CL_39,Fiat-SPA CL-39,trucks,46,trucks,46,0,100
ITA_SPA_AS.37_SAHARIANO,SPA AS.37 Sahariano,trucks,40,trucks,40,0,100
ITA_SPA_DOVUNQUE_35,SPA Dovunque 35,trucks,15,trucks,15,0,100
ITA_ALFA_ROMEO_800RE,Alfa Romeo 800RE,trucks,25,trucks,25,0,100
ITA_FIAT_634N,Fiat 634N,trucks,100,trucks,100,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,177,motorcycles,177,0,100
ITA_MOTO_GUZZI_TRIALCE,Moto Guzzi Trialce,motorcycles,45,motorcycles,45,0,100
ITA_BIANCHI_MOTOFANTE,Bianchi Motofante,motorcycles,12,motorcycles,12,0,100
ITA_BIANCHI_MT_500,Bianchi MT 500,motorcycles,25,motorcycles,25,0,100
ITA_MOTO_GUZZI_GT_500,Moto Guzzi GT 500,motorcycles,28,motorcycles,28,0,100
ITA_BENELLI_M36,Benelli M36,motorcycles,46,motorcycles,46,0,100
ITA_BIANCHI_M35,Bianchi M35,motorcycles,41,motorcycles,41,0,100
ITA_CANNONE_DA_75/27_MODELLO_11,Cannone da 75/27 Modello 11,field_artillery,60,field_artillery,60,0,100
ITA_CANNONE_DA_75/27_MOD._1906,Cannone da 75/27 Mod. 1906,field_artillery,48,field_artillery,48,0,100
ITA_OBICE_DA_100/17_MODELLO_14,Obice da 100/17 Modello 14,field_artillery,36,field_artillery,36,0,100
ITA_OBICE_DA_100/17_MOD._1914,Obice da 100/17 Mod. 1914,field_artillery,12,field_artillery,12,0,100
ITA_CANNONE_DA_47/32_MODELLO_35,Cannone da 47/32 Modello 35,anti_tank,48,anti_tank,48,0,100
ITA_CANNONE_MITRAGLIERA_DA_20/65_MODELLO_35,Cannone-Mitragliera da 20/65 Modello 35,anti_aircraft,48,anti_aircraft,48,0,100
