equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_L3/35_TANKETTE,L3/35 Tankette,tanks,20,tanks,16,4,80
ITA_L3/35_CARRO_COMMANDO,L3/35 Carro Commando,tanks,1,tanks,1,0,100
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,4,armored_cars,3,1,75
ITA_FIAT_626,Fiat 626,trucks,92,trucks,92,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,68,trucks,68,0,100
ITA_SPA_DOVUNQUE_35,SPA Dovunque 35,trucks,48,trucks,48,0,100
ITA_LIGHT_TRUCKS,Light trucks,trucks,29,trucks,29,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,22,motorcycles,22,0,100
ITA_MOTO_GUZZI_TRIALCE,Moto Guzzi Trialce,motorcycles,15,motorcycles,15,0,100
ITA_BIANCHI_M35,Bianchi M35,motorcycles,1,motorcycles,1,0,100
ITA_65MM/17_INFANTRY_GUN,65mm/17 Infantry Gun,field_artillery,8,field_artillery,8,0,100
ITA_75MM/27_FIELD_GUN,75mm/27 Field Gun,field_artillery,24,field_artillery,24,0,100
ITA_100MM/17_HOWITZER,100mm/17 Howitzer,field_artillery,4,field_artillery,4,0,100
ITA_47MM/32_MOD._35,47mm/32 Mod. 35,anti_tank,8,anti_tank,8,0,100
ITA_20MM_BREDA,20mm Breda,anti_aircraft,10,anti_aircraft,10,0,100
ITA_75MM/46_AA_GUN,75mm/46 AA Gun,anti_aircraft,2,anti_aircraft,2,0,100
