equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,8,armored_cars,3,5,37
ITA_FIAT_634N_(3_TON),Fiat 634N (3-ton),trucks,65,trucks,65,0,100
ITA_LANCIA_3RO_(3_TON),Lancia 3Ro (3-ton),trucks,35,trucks,35,0,100
ITA_FIAT_626_(LIGHT_TRUCK),Fiat 626 (Light truck),trucks,20,trucks,20,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,28,motorcycles,28,0,100
ITA_MOTO_GUZZI_TRIALCE,Moto Guzzi Trialce,motorcycles,14,motorcycles,14,0,100
ITA_65/17_MOD._13_MOUNTAIN_GUN,65/17 mod. 13 Mountain Gun,field_artillery,8,field_artillery,8,0,100
ITA_75/27_MOD._06_FIELD_GUN,75/27 mod. 06 Field Gun,field_artillery,24,field_artillery,24,0,100
ITA_47/32_MOD._35_ANTI_TANK_GUN,47/32 mod. 35 Anti-Tank Gun,anti_tank,8,anti_tank,8,0,100
ITA_20/65_MOD._35_ANTI_AIRCRAFT_GUN,20/65 mod. 35 Anti-Aircraft Gun,anti_aircraft,8,anti_aircraft,8,0,100
