equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,46,tanks,43,3,93
ITA_L3/35,L3/35,tanks,93,tanks,89,4,95
ITA_L3/35_LANCIAFIAMME,L3/35 Lanciafiamme,tanks,24,tanks,19,5,79
ITA_AB40/41,AB40/41,armored_cars,16,armored_cars,14,2,87
ITA_FIAT_634N,Fiat 634N,trucks,220,trucks,220,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,180,trucks,180,0,100
ITA_FIAT_626,Fiat 626,trucks,150,trucks,150,0,100
ITA_AUTOCARETTE_(LIGHT_TRUCKS),Autocarette (Light Trucks),trucks,67,trucks,67,0,100
ITA_SPECIALIZED_TRUCKS,Specialized Trucks,trucks,44,trucks,44,0,100
ITA_GUZZI_ALCE_500,Guzzi Alce 500,motorcycles,250,motorcycles,250,0,100
ITA_BIANCHI_M35,Bianchi M35,motorcycles,150,motorcycles,150,0,100
ITA_GUZZI_TRIALCE,Guzzi Trialce,motorcycles,77,motorcycles,77,0,100
ITA_75/27_MOD._1911,75/27 Mod. 1911,field_artillery,24,field_artillery,24,0,100
ITA_100/17_MOD._1914,100/17 Mod. 1914,field_artillery,12,field_artillery,12,0,100
ITA_47/32_MOD._1935,47/32 Mod. 1935,anti_tank,55,anti_tank,55,0,100
ITA_47MM_TANK_GUNS,47mm Tank Guns,anti_tank,6,anti_tank,6,0,100
