equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_FIAT_M13/40,Fiat M13/40,tanks,15,tanks,13,2,86
ITA_FIAT_L3/35,Fiat L3/35,tanks,30,tanks,25,5,83
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,15,armored_cars,12,3,80
ITA_AUTOBLINDA_AB_41,Autoblinda AB 41,armored_cars,10,armored_cars,9,1,90
ITA_FIAT_626,Fiat 626,trucks,280,trucks,280,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,180,trucks,180,0,100
ITA_FIAT_634,Fiat 634,trucks,120,trucks,120,0,100
ITA_FIAT_665,Fiat 665,trucks,70,trucks,70,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,60,motorcycles,60,0,100
ITA_BIANCHI_M35,Bianchi M35,motorcycles,40,motorcycles,40,0,100
ITA_GILERA_LTE,Gilera LTE,motorcycles,20,motorcycles,20,0,100
ITA_CANNONE_DA_75/27_MODELLO_11,Cannone da 75/27 modello 11,field_artillery,24,field_artillery,24,0,100
ITA_CANNONE_DA_47/32_M35,Cannone da 47/32 M35,anti_tank,12,anti_tank,12,0,100
ITA_CANNONE_MITRAGLIERA_DA_20/65_MODELLO_35,Cannone-Mitragliera da 20/65 modello 35,anti_aircraft,12,anti_aircraft,12,0,100
ITA_BREDA_20/65_MOD._39,Breda 20/65 Mod. 39,anti_aircraft,4,anti_aircraft,4,0,100
