equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,37,tanks,35,2,94
ITA_AB41,AB41,armored_cars,12,armored_cars,10,2,83
ITA_LANCIA_ANSALDO,Lancia Ansaldo,armored_cars,6,armored_cars,5,1,83
ITA_FIAT_634N,Fiat 634N,trucks,380,trucks,380,0,100
ITA_FIAT_626,Fiat 626,trucks,290,trucks,290,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,250,trucks,250,0,100
ITA_FIAT_665,Fiat 665,trucks,180,trucks,180,0,100
ITA_ALFA_ROMEO_800,Alfa Romeo 800,trucks,120,trucks,120,0,100
ITA_SPA_DOVUNQUE_35,Spa Dovunque 35,trucks,90,trucks,90,0,100
ITA_OM_AUTOCARRO,OM Autocarro,trucks,110,trucks,110,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,45,motorcycles,45,0,100
ITA_GILERA_LTE,Gilera LTE,motorcycles,25,motorcycles,25,0,100
ITA_BIANCHI_M12,Bianchi M12,motorcycles,15,motorcycles,15,0,100
ITA_75/27_MOD_1906,75/27 Mod 1906,field_artillery,24,field_artillery,24,0,100
ITA_100/17_MOD_1914,100/17 Mod 1914,field_artillery,12,field_artillery,12,0,100
ITA_65/17_MOD_1908,65/17 Mod 1908,field_artillery,12,field_artillery,12,0,100
ITA_47/32_MOD_1935,47/32 Mod 1935,anti_tank,12,anti_tank,12,0,100
ITA_20MM_BREDA_M35,20mm Breda M35,anti_aircraft,8,anti_aircraft,8,0,100
ITA_20MM_SCOTTI,20mm Scotti,anti_aircraft,4,anti_aircraft,4,0,100
