equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AB_40,AB 40,armored_cars,20,armored_cars,18,2,90
ITA_FIAT_634N,Fiat 634N,trucks,400,trucks,400,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,300,trucks,300,0,100
ITA_SPA_DOVUNQUE_35,SPA Dovunque 35,trucks,200,trucks,200,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,100,motorcycles,100,0,100
ITA_BIANCHI_SUPERMIL,Bianchi Supermil,motorcycles,50,motorcycles,50,0,100
ITA_75/27_MOD_1906,75/27 Mod 1906,field_artillery,48,field_artillery,48,0,100
ITA_100/17_MOD_1914,100/17 Mod 1914,field_artillery,24,field_artillery,24,0,100
ITA_149/13_MOD_1910,149/13 Mod 1910,field_artillery,24,field_artillery,24,0,100
ITA_47/32_MOD_1935,47/32 Mod 1935,anti_tank,36,anti_tank,36,0,100
ITA_20MM_BREDA_M35,20mm Breda M35,anti_aircraft,12,anti_aircraft,12,0,100
