equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_L3/33_TANKETTE,L3/33 Tankette,tanks,13,tanks,0,13,0
ITA_FIAT_626,Fiat 626,trucks,295,trucks,235,60,79
ITA_FIAT_634,Fiat 634,trucks,235,trucks,190,45,80
ITA_LANCIA_3RO,Lancia 3Ro,trucks,195,trucks,155,40,79
ITA_ALFA_ROMEO_430,Alfa Romeo 430,trucks,170,trucks,135,35,79
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,24,motorcycles,22,2,91
ITA_BENELLI_M36,Benelli M36,motorcycles,18,motorcycles,16,2,88
ITA_CANNONE_DA_75/27_MOD._1911,Cannone da 75/27 Mod. 1911,field_artillery,16,field_artillery,14,2,87
ITA_10CM_SIG_18_(GERMAN),10cm sIG 18 (German),field_artillery,6,field_artillery,4,2,66
ITA_10.5CM_LEFH_18_(GERMAN),10.5cm leFH 18 (German),field_artillery,2,field_artillery,2,0,100
ITA_CANNONE_DA_47/32_MOD._1935,Cannone da 47/32 Mod. 1935,anti_tank,6,anti_tank,6,0,100
ITA_3.7CM_PAK_36_(GERMAN),3.7cm PaK 36 (German),anti_tank,4,anti_tank,3,1,75
ITA_CANNONE_MITRAGLIERA_DA_20/65_MOD._1935,Cannone-Mitragliera da 20/65 Mod. 1935,anti_aircraft,4,anti_aircraft,3,1,75
ITA_2CM_FLAK_38_(GERMAN),2cm FlaK 38 (German),anti_aircraft,2,anti_aircraft,2,0,100
