equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,12,armored_cars,11,1,91
ITA_FIAT_634N,Fiat 634N,trucks,485,trucks,440,45,90
ITA_FIAT_626,Fiat 626,trucks,425,trucks,380,45,89
ITA_LANCIA_3RO,Lancia 3Ro,trucks,310,trucks,280,30,90
ITA_SPA_DOVUNQUE_35,SPA Dovunque 35,trucks,165,trucks,145,20,87
ITA_FIAT_618,Fiat 618,trucks,65,trucks,60,5,92
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,95,motorcycles,86,9,90
ITA_BIANCHI_MT_500,Bianchi MT 500,motorcycles,62,motorcycles,56,6,90
ITA_GILERA_LTE,Gilera LTE,motorcycles,28,motorcycles,26,2,92
ITA_CANNONE_DA_75/27_MODELLO_11,Cannone da 75/27 Modello 11,field_artillery,24,field_artillery,23,1,95
ITA_OBICE_DA_100/17_MODELLO_14,Obice da 100/17 Modello 14,field_artillery,12,field_artillery,11,1,91
ITA_CANNONE_DA_47/32_MODELLO_35,Cannone da 47/32 Modello 35,anti_tank,12,anti_tank,11,1,91
ITA_CANNONE_DA_47/32_(SELF_PROPELLED),Cannone da 47/32 (Self-Propelled),anti_tank,4,anti_tank,4,0,100
ITA_CANNONE_MITRAGLIERA_DA_20/65_MODELLO_35_(BREDA),Cannone-Mitragliera da 20/65 Modello 35 (Breda),anti_aircraft,24,anti_aircraft,22,2,91
ITA_CANNONE_DA_20/77_(SCOTTI),Cannone da 20/77 (Scotti),anti_aircraft,8,anti_aircraft,7,1,87
