equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,145,tanks,135,10,93
ITA_M14/41,M14/41,tanks,136,tanks,126,10,92
ITA_L6/40,L6/40,tanks,61,tanks,54,7,88
ITA_AB41,AB41,armored_cars,52,armored_cars,46,6,88
ITA_AB40,AB40,armored_cars,6,armored_cars,5,1,83
ITA_FIAT_634N,Fiat 634N,trucks,1002,trucks,1002,0,100
ITA_FIAT_626,Fiat 626,trucks,690,trucks,690,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,705,trucks,705,0,100
ITA_FIAT_665NM,Fiat 665NM,trucks,325,trucks,325,0,100
ITA_SPA_38R,SPA 38R,trucks,275,trucks,275,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,455,motorcycles,410,45,90
ITA_BIANCHI_SUPERMIL,Bianchi Supermil,motorcycles,265,motorcycles,238,27,89
ITA_BIANCHI_M35,Bianchi M35,motorcycles,125,motorcycles,110,15,88
ITA_GUZZI_TRIALCE,Guzzi Trialce,motorcycles,70,motorcycles,64,6,91
ITA_ANSALDO_75MM/27_MOD_1911,Ansaldo 75mm/27 Mod 1911,field_artillery,51,field_artillery,51,0,100
ITA_OBICE_DA_100/17_MOD_1914,Obice da 100/17 Mod 1914,field_artillery,39,field_artillery,39,0,100
ITA_ANSALDO_105MM/28_MOD_1913,Ansaldo 105mm/28 Mod 1913,field_artillery,12,field_artillery,12,0,100
ITA_CANNONE_DA_47/32_MOD_1935,Cannone da 47/32 Mod 1935,anti_tank,124,anti_tank,116,8,93
ITA_CANNONE_DA_90/53_MOD_1939,Cannone da 90/53 Mod 1939,anti_aircraft,10,anti_aircraft,10,0,100
ITA_BREDA_20MM/65_MOD_1935,Breda 20mm/65 Mod 1935,anti_aircraft,38,anti_aircraft,35,3,92
