equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M13/40,M13/40,tanks,19,tanks,14,5,73
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,7,armored_cars,6,1,85
ITA_AUTOBLINDA_AB_41,Autoblinda AB 41,armored_cars,4,armored_cars,4,0,100
ITA_FIAT_634N,Fiat 634N,trucks,195,trucks,195,0,100
ITA_FIAT_626,Fiat 626,trucks,160,trucks,160,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,125,trucks,125,0,100
ITA_ALFA_ROMEO_430RE,Alfa Romeo 430RE,trucks,65,trucks,65,0,100
ITA_SPA_38R,SPA 38R,trucks,45,trucks,45,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,32,motorcycles,32,0,100
ITA_BENELLI_M36,Benelli M36,motorcycles,18,motorcycles,18,0,100
ITA_GILERA_LTE,Gilera LTE,motorcycles,8,motorcycles,8,0,100
ITA_CANNONE_DA_75/27_MODELLO_1906,Cannone da 75/27 modello 1906,field_artillery,22,field_artillery,22,0,100
ITA_OBICE_DA_100/17_MODELLO_1916,Obice da 100/17 modello 1916,field_artillery,10,field_artillery,10,0,100
ITA_CANNONE_DA_47/32_MODELLO_1935,Cannone da 47/32 modello 1935,anti_tank,32,anti_tank,32,0,100
ITA_CANNONE_DA_65/17_MODELLO_1908_1913,Cannone da 65/17 modello 1908-1913,anti_tank,10,anti_tank,10,0,100
ITA_CANNONE_MITRAGLIERA_DA_20/65_MODELLO_1935,Cannone-Mitragliera da 20/65 modello 1935,anti_aircraft,28,anti_aircraft,28,0,100
ITA_CANNONE_DA_75/27_C.K.,Cannone da 75/27 C.K.,anti_aircraft,6,anti_aircraft,6,0,100
