equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AB40,AB40,armored_cars,4,armored_cars,2,2,50
ITA_AB41,AB41,armored_cars,5,armored_cars,3,2,60
ITA_FIAT_634N,Fiat 634N,trucks,48,trucks,48,0,100
ITA_FIAT_626,Fiat 626,trucks,42,trucks,42,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,35,trucks,35,0,100
ITA_ALFA_ROMEO_800RE,Alfa Romeo 800RE,trucks,18,trucks,18,0,100
ITA_FIAT_508CM,Fiat 508CM,trucks,9,trucks,9,0,100
ITA_GUZZI_ALCE,Guzzi Alce,motorcycles,14,motorcycles,14,0,100
ITA_BIANCHI_500M,Bianchi 500M,motorcycles,8,motorcycles,8,0,100
ITA_75/27_MOD_1906,75/27 Mod 1906,field_artillery,20,field_artillery,20,0,100
ITA_100/17_HOWITZER_MOD_1914,100/17 Howitzer Mod 1914,field_artillery,10,field_artillery,10,0,100
ITA_65/17_INFANTRY_GUN_MOD_1913,65/17 Infantry Gun Mod 1913,field_artillery,10,field_artillery,10,0,100
ITA_47/32_MOD_1935,47/32 Mod 1935,anti_tank,14,anti_tank,14,0,100
ITA_20MM_SOLOTHURN_S_18/1000,20mm Solothurn S-18/1000,anti_tank,4,anti_tank,4,0,100
ITA_20MM_BREDA_35,20mm Breda 35,anti_aircraft,7,anti_aircraft,7,0,100
ITA_BREDA_M37_8MM,Breda M37 8mm,anti_aircraft,3,anti_aircraft,3,0,100
