equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_M14/41,M14/41,tanks,32,tanks,30,2,93
ITA_M13/40,M13/40,tanks,20,tanks,18,2,90
ITA_AUTOBLINDA_AB_41,Autoblinda AB 41,armored_cars,14,armored_cars,14,0,100
ITA_AUTOBLINDA_AB_40,Autoblinda AB 40,armored_cars,8,armored_cars,8,0,100
ITA_FIAT_626,FIAT 626,trucks,95,trucks,95,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,52,trucks,52,0,100
ITA_FIAT_634N,FIAT 634N,trucks,38,trucks,38,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,32,motorcycles,32,0,100
ITA_MOTO_GUZZI_TRIALCE,Moto Guzzi Trialce,motorcycles,16,motorcycles,16,0,100
ITA_CANNONE_DA_75/27_MODELLO_11,Cannone da 75/27 modello 11,field_artillery,24,field_artillery,24,0,100
ITA_OBICE_DA_100/17_MODELLO_14,Obice da 100/17 modello 14,field_artillery,12,field_artillery,12,0,100
ITA_CANNONE_DA_47/32_M35,Cannone da 47/32 M35,anti_tank,18,anti_tank,18,0,100
ITA_CANNONE_DA_20/65_MODELLO_35,Cannone da 20/65 modello 35,anti_tank,6,anti_tank,6,0,100
ITA_CANNONE_MITRAGLIERA_DA_20/65_MODELLO_35,Cannone-Mitragliera da 20/65 modello 35,anti_aircraft,12,anti_aircraft,12,0,100
