equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AB_41,AB 41,armored_cars,12,armored_cars,10,2,83
ITA_FIAT_626,Fiat 626,trucks,220,trucks,220,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,100,trucks,100,0,100
ITA_FIAT_508,Fiat 508,trucks,60,trucks,60,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,60,motorcycles,60,0,100
ITA_BIANCHI_M35,Bianchi M35,motorcycles,28,motorcycles,28,0,100
ITA_CANNONE_DA_75/27,Cannone da 75/27,field_artillery,24,field_artillery,24,0,100
ITA_OBICE_DA_100/17,Obice da 100/17,field_artillery,24,field_artillery,24,0,100
ITA_CANNONE_DA_47/32,Cannone da 47/32,anti_tank,18,anti_tank,18,0,100
ITA_BREDA_20MM,Breda 20mm,anti_aircraft,10,anti_aircraft,10,0,100
