equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AB_41,AB 41,armored_cars,18,armored_cars,12,6,66
ITA_FIAT_626,Fiat 626,trucks,740,trucks,740,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,620,trucks,620,0,100
ITA_FIAT_665,Fiat 665,trucks,480,trucks,480,0,100
ITA_FIAT_618,Fiat 618,trucks,340,trucks,340,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,210,motorcycles,210,0,100
ITA_BIANCHI_M35,Bianchi M35,motorcycles,90,motorcycles,90,0,100
ITA_BENELLI_M36,Benelli M36,motorcycles,40,motorcycles,40,0,100
ITA_75/27_MODELLO_1906_GUN,75/27 Modello 1906 Gun,field_artillery,48,field_artillery,48,0,100
ITA_100/17_MODELLO_1914_HOWITZER,100/17 Modello 1914 Howitzer,field_artillery,24,field_artillery,24,0,100
ITA_75/18_MODELLO_1934_HOWITZER,75/18 Modello 1934 Howitzer,field_artillery,12,field_artillery,12,0,100
ITA_47/32_MODELLO_1935,47/32 Modello 1935,anti_tank,62,anti_tank,62,0,100
ITA_20MM_SOLOTHURN_S_18/1000,20mm Solothurn S-18/1000,anti_tank,6,anti_tank,6,0,100
ITA_20/65_BREDA_MODELLO_1935,20/65 Breda Modello 1935,anti_aircraft,26,anti_aircraft,26,0,100
ITA_20MM_BREDA_M38,20mm Breda M38,anti_aircraft,6,anti_aircraft,6,0,100
