equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_AUTOBLINDA_AB_40/41,Autoblinda AB 40/41,armored_cars,8,armored_cars,6,2,75
ITA_FIAT_626,FIAT 626,trucks,75,trucks,75,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,40,trucks,40,0,100
ITA_FIAT_634N,FIAT 634N,trucks,30,trucks,30,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,16,motorcycles,16,0,100
ITA_MOTO_GUZZI_TRIALCE,Moto Guzzi Trialce,motorcycles,6,motorcycles,6,0,100
ITA_75/27_MODELLO_1906,75/27 modello 1906,field_artillery,12,field_artillery,12,0,100
ITA_100/17_MODELLO_1914,100/17 modello 1914,field_artillery,12,field_artillery,12,0,100
ITA_47/32_MODELLO_1935,47/32 modello 1935,anti_tank,8,anti_tank,8,0,100
ITA_20/65_MODELLO_1935,20/65 modello 1935,anti_aircraft,4,anti_aircraft,4,0,100
