equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_FIAT_626,Fiat 626,trucks,180,trucks,180,0,100
ITA_LANCIA_3RO,Lancia 3Ro,trucks,105,trucks,105,0,100
ITA_FIAT_618,Fiat 618,trucks,85,trucks,85,0,100
ITA_VARIOUS_LIGHT_TRUCKS,Various light trucks,trucks,50,trucks,50,0,100
ITA_MOTO_GUZZI_ALCE,Moto Guzzi Alce,motorcycles,30,motorcycles,30,0,100
ITA_BENELLI_M36,Benelli M36,motorcycles,25,motorcycles,25,0,100
ITA_75MM_CANNONE_DA_75/27_MOD._1911,75mm Cannone da 75/27 Mod. 1911,field_artillery,16,field_artillery,16,0,100
ITA_100MM_CANNONE_DA_100/17_MOD._1914,100mm Cannone da 100/17 Mod. 1914,field_artillery,8,field_artillery,8,0,100
ITA_47MM_CANNONE_DA_47/32_MOD._1935,47mm Cannone da 47/32 Mod. 1935,anti_tank,12,anti_tank,12,0,100
ITA_20MM_SOLOTHURN_S_18/1000,20mm Solothurn S-18/1000,anti_tank,4,anti_tank,4,0,100
ITA_20MM_BREDA_M35,20mm Breda M35,anti_aircraft,9,anti_aircraft,9,0,100
ITA_20MM_BREDA_M38,20mm Breda M38,anti_aircraft,3,anti_aircraft,3,0,100
