equipment_id,equipment_name,equipment_type,count,section,ready,damaged,operational_readiness
ITA_SOMUA_S35,Somua S35,tanks,16,tanks,12,4,75
ITA_M3_STUART_(LEND_LEASE),M3 Stuart (Lend-Lease),tanks,12,tanks,10,2,83
ITA_HOTCHKISS_H39,Hotchkiss H39,tanks,14,tanks,9,5,64
ITA_RENAULT_R35,Renault R35,tanks,6,tanks,4,2,66
ITA_PANHARD_178,Panhard 178,armored_cars,36,armored_cars,28,8,77
ITA_WHITE_LAFFLY_AMD_50,White-Laffly AMD 50,armored_cars,13,armored_cars,9,4,69
ITA_AMD_35,AMD 35,armored_cars,6,armored_cars,4,2,66
ITA_GMC_CCKW_(LEND_LEASE),GMC CCKW (Lend-Lease),trucks,286,trucks,246,40,86
ITA_DODGE_WC_SERIES_(LEND_LEASE),Dodge WC series (Lend-Lease),trucks,281,trucks,227,54,80
ITA_RENAULT_AGC/AGK/AGP,Renault AGC/AGK/AGP,trucks,192,trucks,126,66,65
ITA_LAFFLY_V15T,Laffly V15T,trucks,160,trucks,85,75,53
ITA_RENAULT_AHS,Renault AHS,trucks,30,trucks,22,8,73
ITA_GNOME_RHÔNE_AX2,Gnome-Rhône AX2,motorcycles,51,motorcycles,37,14,72
ITA_PEUGEOT_515,Peugeot 515,motorcycles,27,motorcycles,18,9,66
ITA_TERROT_VATT,Terrot VATT,motorcycles,15,motorcycles,12,3,80
ITA_HARLEY_DAVIDSON_WLA_(LEND_LEASE),Harley-Davidson WLA (Lend-Lease),motorcycles,7,motorcycles,6,1,85
