master_id,variant_name,confidence_score,created_at
1,"75mm M1897",100,2025-11-03T22:31:19.337941
2,"Artillery Tractors",100,2025-11-03T22:31:19.337941
3,"Bedford OY",100,2025-11-03T22:31:19.337941
4,"Captured Italian",100,2025-11-03T22:31:19.337941
5,"Captured Italian/german",100,2025-11-03T22:31:19.337941
5,"Captured Italian-german",80,2025-11-03T22:31:19.337941
5,"Captured Italian german",80,2025-11-03T22:31:19.337941
6,"Hotchkiss H39",100,2025-11-03T22:31:19.337941
7,"M3 Stuart",100,2025-11-03T22:31:19.337941
8,"Morris Commercial",100,2025-11-03T22:31:19.337941
9,"Panhard 178",100,2025-11-03T22:31:19.337941
10,"QF 25-pounder",100,2025-11-03T22:31:19.337941
10,"QF 25 pounder",80,2025-11-03T22:31:19.337941
10,"QF 25pounder",80,2025-11-03T22:31:19.337941
11,"QF 6-pounder",100,2025-11-03T22:31:19.337941
11,"QF 6 pounder",80,2025-11-03T22:31:19.337941
11,"QF 6pounder",80,2025-11-03T22:31:19.337941
12,"Recovery Vehicles",100,2025-11-03T22:31:19.337941
13,"Renault R35",100,2025-11-03T22:31:19.337941
14,"Somua S35",100,2025-11-03T22:31:19.337941
15,"Total Light Tanks",100,2025-11-03T22:31:19.337941
16,"Universal Carrier",100,2025-11-03T22:31:19.337941
17,"US Lend-lease (arriving)",100,2025-11-03T22:31:19.337941
17,"US Lend lease (arriving)",80,2025-11-03T22:31:19.337941
17,"US Lendlease (arriving)",80,2025-11-03T22:31:19.337941
18,"Various French Types",100,2025-11-03T22:31:19.337941
19,"White-laffly AMD 50",100,2025-11-03T22:31:19.337941
19,"White laffly AMD 50",80,2025-11-03T22:31:19.337941
19,"Whitelaffly AMD 50",80,2025-11-03T22:31:19.337941
20,"White M3 Scout Car",100,2025-11-03T22:31:19.337941
21,"18-pounder (AT Adapted)",100,2025-11-03T22:31:19.337941
21,"18-pounder (Anti Tank Adapted)",80,2025-11-03T22:31:19.337941
21,"18pounder (AT Adapted)",80,2025-11-03T22:31:19.337941
21,"18 pounder (AT Adapted)",80,2025-11-03T22:31:19.337941
21,"18-pounder (Anti-Tank Adapted)",80,2025-11-03T22:31:19.337941
22,"20mm Oerlikon",100,2025-11-03T22:31:19.337941
23,"25 Pounder",100,2025-11-03T22:31:19.337941
24,"2 Pdr AT",100,2025-11-03T22:31:19.337941
24,"2 Pdr Anti Tank",80,2025-11-03T22:31:19.337941
24,"2 Pdr Anti-Tank",80,2025-11-03T22:31:19.337941
25,"2 Pounder",100,2025-11-03T22:31:19.337941
26,"3.7-inch AA Gun",100,2025-11-03T22:31:19.337941
26,"3.7inch AA Gun",80,2025-11-03T22:31:19.337941
26,"3.7 inch AA Gun",80,2025-11-03T22:31:19.337941
26,"3.7-inch Anti Aircraft Gun",80,2025-11-03T22:31:19.337941
26,"37-inch AA Gun",80,2025-11-03T22:31:19.337941
26,"3.7-inch Anti-Aircraft Gun",80,2025-11-03T22:31:19.337941
27,"3 7 Inch AA",100,2025-11-03T22:31:19.337941
27,"3 7 Inch Anti Aircraft",80,2025-11-03T22:31:19.337941
27,"3 7 Inch Anti-Aircraft",80,2025-11-03T22:31:19.337941
28,"4.5-inch Howitzer",100,2025-11-03T22:31:19.337941
28,"45-inch Howitzer",80,2025-11-03T22:31:19.337941
28,"4.5inch Howitzer",80,2025-11-03T22:31:19.337941
28,"4.5 inch Howitzer",80,2025-11-03T22:31:19.337941
29,"4 5 Howitzer",100,2025-11-03T22:31:19.337941
30,"4 5 Inch Howitzer",100,2025-11-03T22:31:19.337941
31,"5.5-inch Gun-howitzer",100,2025-11-03T22:31:19.337941
31,"5.5inch Gunhowitzer",80,2025-11-03T22:31:19.337941
31,"5.5 inch Gun howitzer",80,2025-11-03T22:31:19.337941
31,"55-inch Gun-howitzer",80,2025-11-03T22:31:19.337941
32,"5 5 Inch Gun",100,2025-11-03T22:31:19.337941
33,"60-pounder Heavy Gun",100,2025-11-03T22:31:19.337941
33,"60pounder Heavy Gun",80,2025-11-03T22:31:19.337941
33,"60 pounder Heavy Gun",80,2025-11-03T22:31:19.337941
34,"6 Pdr AT",100,2025-11-03T22:31:19.337941
34,"6 Pdr Anti-Tank",80,2025-11-03T22:31:19.337941
34,"6 Pdr Anti Tank",80,2025-11-03T22:31:19.337941
35,"6 Pounder",100,2025-11-03T22:31:19.337941
36,"7.2-inch Howitzer",100,2025-11-03T22:31:19.337941
36,"7.2inch Howitzer",80,2025-11-03T22:31:19.337941
36,"72-inch Howitzer",80,2025-11-03T22:31:19.337941
36,"7.2 inch Howitzer",80,2025-11-03T22:31:19.337941
37,"A10",100,2025-11-03T22:31:19.337941
38,"A10 Cruiser",100,2025-11-03T22:31:19.337941
39,"A10 Cruiser Mk II",100,2025-11-03T22:31:19.338941
40,"A12 Matilda II",100,2025-11-03T22:31:19.338941
41,"A13 Cruiser",100,2025-11-03T22:31:19.338941
42,"A13 Cruiser Mk1",100,2025-11-03T22:31:19.338941
43,"A13 Cruiser Mk2",100,2025-11-03T22:31:19.338941
44,"A13 Cruiser Mk3",100,2025-11-03T22:31:19.338941
45,"A13 Cruiser Mk IV",100,2025-11-03T22:31:19.338941
46,"A13 Mk II",100,2025-11-03T22:31:19.338941
47,"A13 Mk II Cruiser",100,2025-11-03T22:31:19.338941
48,"A13 Mk II (cruiser Mk IV)",100,2025-11-03T22:31:19.338941
49,"A15 Crusader Mk I",100,2025-11-03T22:31:19.338941
51,"A9 Cruiser",100,2025-11-03T22:31:19.338941
52,"A9 Cruiser Mk I",100,2025-11-03T22:31:19.338941
53,"A9 Recovery",100,2025-11-03T22:31:19.338941
54,"Anti Aircraft",100,2025-11-03T22:31:19.338941
55,"Anti Tank",100,2025-11-03T22:31:19.338941
56,"Austin K2",100,2025-11-03T22:31:19.338941
57,"Baltimore Mk3",100,2025-11-03T22:31:19.338941
58,"Bedford MW",100,2025-11-03T22:31:19.338941
59,"Bedford MW 15cwt",100,2025-11-03T22:31:19.338941
60,"Bedford MW/MWD",100,2025-11-03T22:31:19.338941
60,"Bedford MW MWD",80,2025-11-03T22:31:19.338941
60,"Bedford MW-MWD",80,2025-11-03T22:31:19.338941
61,"Bedford OWL",100,2025-11-03T22:31:19.338941
62,"Bedford OX",100,2025-11-03T22:31:19.338941
63,"Bedford OY 3-ton",100,2025-11-03T22:31:19.338941
