ammunition_count,line_number,potential_vehicles,context
50,1989,"2pdr, 92mm",was employed. The vehicle was armed with a 2pdrgun (with 50 rounds) and coaxial Besa 7.92mm MG in the turret. A small number
50,1989,"2pdr, 92mm",was employed. The vehicle was armed with a 2pdrgun (with 50 rounds) and coaxial Besa 7.92mm MG in the turret. A small number
50,2028,"2pdr, 9mm","steering system was retained but power assist added to reduce driver fatigue. The armament remained the same, a 2pdr gun (with 50 rounds) and a 7.9mm Besa, and tapered-bore Littlejohn adaptors were sometimes fitted to the main gun"
50,2028,"2pdr, 9mm","steering system was retained but power assist added to reduce driver fatigue. The armament remained the same, a 2pdr gun (with 50 rounds) and a 7.9mm Besa, and tapered-bore Littlejohn adaptors were sometimes fitted to the main gun"
32,2880,25pdr,shaped superstructure was built above. The vehicle carried a Bren gun on an open AA mount and 32 rounds of 25pdr ammunition. The extemporized nature of the vehicle showed
00,5876,"37mm, 5mm",down to provide a seat as well as entry. Armament consisted of the short-barrel 37mm SA18 gun (with 1 00 rounds) and a coaxial 7.5mm MG. Derail improvements resulted in
58,5886,37mm,"37mm SA38 gun, reducing ammunition load to 58 rounds. Armor protection was good, but designed for the slow-motion warfare of WW I"
112,5960,"47mm, 5mm",springs. The one-man turret carried rhe medium-length 47mm SA34 gun (lor which 112 rounds were provided) and a 7.5mm machine gun. A second MG was fixed in the hull and aimed by turning the tank. The D-2
50,6220,"25mm, 5mm","forward and reverse. The octagonal APX-3 turret mounted a 25mm SA34 anti-tank gun (for which 1 50 rounds were provided) and a coaxial 7.5mm machine gun. A small number were built as command vehicles, in which the"
79,7572,"75mm, 75mm, 92mm","variants, the turret armament consisted of the very powerful 75mm KwK42 L/70 gun and a coaxial MG34. Ammunition stowage comprised 79 rounds of 75mm and 5,100 rounds of 7.92mm. An armored flap covered a direct-vision opening"
100,7572,"75mm, 75mm, 92mm","variants, the turret armament consisted of the very powerful 75mm KwK42 L/70 gun and a coaxial MG34. Ammunition stowage comprised 79 rounds of 75mm and 5,100 rounds of 7.92mm. An armored flap covered a direct-vision opening"
92,7678,88mm,"wide ring that accommodated the horseshoe-shaped turret. The turret mounted the 88mm KwK36 L/56 gun and a coaxial MG34, with 92 rounds for the former being accommodated. Early vehicles proved underpowered and in May 1943, starting with vehicle 425, the 600-hp engine"
