vehicle_name,ammunition_count,start_line,weight_tonnes,armor_front_mm,armor_side_mm,engine_hp,road_speed_kmh
2pdrgun (with 50 rounds) and coaxial Besa,50,1989,,,,,
Mark VI Tetrarch light tank,50,2013,,,,,
carried 39 rounds for the main gun. The,39,2840,,,,,
25pdr gun-howitzer with the chassis of the,32,2873,,,,,
"pairs, with one vehicle carrying the mortar and",72,3443,3.6,12,,85,53
main weapon was the 25pdr gun-howitzer,87,4449,,,,,
gunner in the turret. Turret armament in the,90,5047,,,,,
|AN E'S TANKS OF WORLD WAR,38,5077,10.8,50,15,150,47
although a light MG was carried loose.,5,5127,,,,,
ammunition vehicles to carry 40 rounds.,40,5145,,,15,150,47
JAN E'S TANKS OF WORLD WAR Ik,40,5150,,,,,
This vehicle shared the automotive components,41,5192,,,,,
"37mm SA38 gun, reducing ammunition load to",58,5884,,,,,
medium-length 47mm SA34 gun (lor which,112,5959,19.8,40,,150,
turret mounted a 25mm SA34 anti-tank gun,50,6219,,,,,
PzKw IV Tank (SdKfz 161),80,7475,,,,,
PzKw V Panther,79,7565,,,,,
PzKw VI Tiger,92,7664,,,,,
"command vehicles, with main gun ammunition stowage",66,7690,,,,,
the PzKw IIIJ. Those produced from July 1942,54,7799,,,,,
cab. On some vehicles a 5cm thick concrete,87,7852,,,,,
with 79 rounds of ammunition. The gun,79,7936,,,,,
There were actually two versions of this vehicle,60,7967,,,,,
into which the powerful gun could be mounted.,57,8021,,,,,
with 40 rounds or ammunition. The vehicle,40,8067,,,,,
could only carry 38 rounds of the large,38,8117,,,,,
conversions to an SP anti-tank vehicle. The,86,8141,,,,,
"usually carried, but could be pintle-mounted for",37,8205,,,,,
"the much-feared 88mm Pak43 L/71 gun, which",40,8243,,,,,
"10,500 meters. The vehicle carried 32 rounds",32,8329,,,,,
Hummel carried only 18 rounds tor the,18,8376,,,,,
These large vehicles used a Biissing-NAG chassis,180,8566,8.3,15,8,150,85
L/46 anti-tank gun. The cars carried 480,480,8636,,,,,
"vehicle (250/3), observation vehicle for assault gun",60,8682,,,,,
"rounds (250/7), fitted with 7.5cm L/24 gun firing",20,8690,5.8,14,8,100,60
SdKfz 250/1 basic half-group carrier,216,8699,,,,,
"mortar carrier with 66 rounds (251/2), radio vehicle",66,8774,,,,,
7.5cm L/24 gun firing forward with 52 rounds,52,8783,,,,,
choice of the 20mm 36M anti-tank rifle with,208,9146,,,,,
Retrofitted vehicles were designated the Toldi,55,9165,8.5,13,,,
41M gun for which 101 rounds were carried.,101,9193,,,,,
"SP Gun, 40M Nimrod",160,9232,8.0,,,155,50
105mm 40/43M howitzer fitted in a ball mount,52,9269,,,,,
20mm 36M anti-tank rifle with 200 rounds and,200,9306,,,,,
consisted of a 20mm Breda 35 gun autocannon,296,9923,,,,,
moderately effective 75mm L/34 gun with 75,75,10080,,,,,
The sole armament was the 47mm L/32 gun,70,10119,,,,,
"role considerably. The use of larger guns, with",42,10215,,,,,
Further ammunition was to be carried by an,40,10264,17.0,40,25,154,35
quarters fighting. The Ho-Ni I carried 54,54,11233,,50,25,170,38
in the front and the commander/gunner behind,96,11526,,,,,
non-amphibious T-60 light tank. Armor was,180,12483,,,,,
armed with the 45mm M32/38 gun with 70,70,12521,,,,,
"consisted of the 122mm D-25Tgun, along with",28,12837,46.1,160,110,600,37
"(with 48 rounds) for the howitzer, turning it",48,13009,,,,,
allowed the carriage of 60 rounds of,60,13023,,,,,
cupola projecting from the side of the vehicle.,34,13045,,,,,
"two per minute, and 20 rounds were carried.",20,13090,,,,,
identical but substituted the 122mm A- 19 gun,3,13138,,,,,
designated the ISU-l 22S. The ISU-l 52 carried,20,13148,,,,,
+20° and for which 43 rounds were carried.,43,13256,,,,,
105mm gun and 43 rounds of ammunition.,43,13817,,,,,
"gun (with 103 rounds) and coaxial ,30cal MG.",103,15363,,,,,
M6 gun (for which 48 rounds were provided),48,15588,18.4,25,25,220,58
gun and a coaxial machine gun. Ammunition,200,15680,,,,,
Medium Tank M4 (Sherman),71,15757,,,,,
of main gun ammunition in wet stowage.,66,15798,,,,,
"+35°, and 69 rounds were carried. Secondary",69,16026,,,,,
and 46 rounds were carried. The two-man,46,16069,,,,,
Each gun fired at 400-500 rounds/minute.,500,16153,,,,,
"carriage, on the M3 half-track body. Elevation",59,16183,,,,,
M4. The vehicles were identical in all,126,16228,9.0,12,8,128,67
