manual_id,manual_name,armor_f_s_r,movement,weapon1,nation,source,notes,suggested_match
241,Churchhill II,I/J/J,"5""/8""",2 pdr,british,Torch,Churchhill III and IV have the same stats,"Churchill II (ID: 418, 96.00%)"
152,Churchill IV,I/J/J,"5""/8""",6 pdr,british,,Churchhill III and IV have the same stats,"Churchill I (ID: 419, 95.65%)"
17,Humber Light Recce Vehicle II,O/O/O,"8""/24""",LMG,canadian,,,"Humber Light Recce Vehicle (ID: 346, 94.55%)"
2,M4A1 Sherman,K/L/N,"9""/14""",75mmL40,"canadian, british",,"M4 Sherman and all A1, A2, A3 variants have same stats","M4A4 Sherman (ID: 101, 91.67%)"
123,M4A2 Sherman,K/L/N,"9""/14""",75mmL40,"canadian, british",,"M4 Sherman and all A1, A2, A3 variants have same stats","M4A4 Sherman (ID: 101, 91.67%)"
124,M4A3 Sherman,K/L/N,"9""/14""",75mmL40,"canadian, british",,"M4 Sherman and all A1, A2, A3 variants have same stats","M4A4 Sherman (ID: 101, 91.67%)"
3,M4 Sherman,K/L/N,"9""/14""",75mmL40,"canadian, british",,"M4 Sherman and all A1, A2, A3 variants have same stats","M4A4 Sherman (ID: 101, 90.91%)"
211,Panzer IV E,L/N/N,"8""/12""",75mmL24,german,Tobruk,Should be a E available,"Panzer IV D (ID: 96, 90.91%)"
127,M4 Sherman DD,K/L/N,"9""/14""",75mmL40,british,,,"M4 Sherman Dozer (ID: 108, 82.76%)"
230,Marmon-Herrington II A (20mm),O/O/O,"8""/12""",20mmL65,british,Tobruk,Need gun from bg builder to match,"Marmon Herrington II A (ID: 344, 82.35%)"
231,Marmon-Herrington II A (37mm),O/O/O,"8""/12""",37mmL43,british,Tobruk,Need gun from bg builder to match,"Marmon Herrington II A (ID: 344, 82.35%)"
143,M3 Scout Car,N/O/O,"8""/12""",MG,british,,"Could be 84 or 577 but need more of BG builder stats, Also having the M3 in the name is important, unsure why bg builder dataset did something different","Humber Scout Car (ID: 134, 78.57%)"
101,A10,M/N/O,"5""/8""",2 pdr,british,,should match A10 Cruiser,"BA-10 (ID: 80, 75.00%)"
135,Centaur Bulldozer,K/L/M,"9""/14""",,british,,Was not in Africa,"Armoured Bulldozer (ID: 160, 74.29%)"
15,M5 Ambulance,N/O/O,"12""/24""",,"canadian, british",,Not in Africa,"Dodge ambulance (ID: 174, 74.07%)"
6,Dingo Scout Car,N/O/O,"9""/14""",MG,canadian,,Daimler Dingo,"White Scout Car (ID: 84, 73.33%)"
132,Crusader AA MkII (2x 20mm),L/N/O,"8""/12""",2x 20mm,british,,Different weapon mounts on same chasis,"Crusader AA II (ID: 130, 70.00%)"
133,Crusader AA MkII (3x 20mm),L/N/O,"8""/12""",3x 20mm,british,,Different weapon mounts on same chasis,"Crusader AA II (ID: 130, 70.00%)"
121,M5 Recce,L/N/M,"12""/18""",MG,british,,not in africa,"M1 Wrecker (ID: 172, 66.67%)"
103,A13 MkII,L/M/O,"9""/15""",2 pdr,british,,,"A13 Cruiser Mk.III (ID: 335, 61.54%)"
220,20mm Flak Truck,SS/SS/SS,"6""/24""",20mmL55,german,Tobruk,,"Medium Radio Truck (ID: 585, 60.61%)"
221,37mm Flak Truck,SS/SS/SS,"6""/24""",37mmL98,german,Tobruk,,"Medium Radio Truck (ID: 585, 60.61%)"
99,A9,N/O/O,"8""/12""",2 pdr,british,,A9 Cruiser MkI,"A9 CS (ID: 333, 57.14%)"
11,CMP,?/?/?,"6""/24""",,canadian,,Data entry error it looks like can delete,"Comet (ID: 235, 50.00%)"
189,Van,SS/SS/SS,"6""/24""",,italian,Tobruk,Italian separate vehicle but same stats as Light Truck,"Radio Van (ID: 92, 50.00%)"
