id,name,movement_REF,armor_REF,weapons_REF,special_rules_REF,ammo_1,ammo_2,ammo_3,ammo_4,mount_1,mount_2,mount_3,mount_4,year_range,vehicle_type,nation,armor_modifier,armor_side_schurzen,notes
462,'Bunkerflak',8/24,O/O/O,88mmL56 (FlaK36),,,,,,,,,,,,,,,
165,1 1/2 tonne truck,6/24,//,,,,,,,,,,,,,,,,
62,1 tonne SdKfz 10,12/16,//,,,,,,,,,,,,,,,,
173,1/4 tonne amphibian,6/24,//,,Amphibious,,,,,,,,,,,,,,
224,105mm PzFH18 auf 39H(f),8/12,N/N/O,105mmL28,,,,,,,,,,,,,,,
209,105mm leFH13 auf Lorraine,9/13,L/O/O,105mmL28,,,,,,,,,,,,,,,
66,12 tonne SdKfz 8,12/16,//,,,,,,,,,,,,,,,,
210,150mm sFH13 auf Lorraine,9/13,L/O/O,150mmL30,,,,,,,,,,,,,,,
67,18 tonne SdKfz 9,12/16,//,,"Recovery, Repair",,,,,,,,,,,,,,
166,2 1/2 tonne truck,6/24,//,,,,,,,,,,,,,,,,
63,3 tonne SdKfz 11,12/16,//,,,,,,,,,,,,,,,,
164,3/4 tonne truck 'Beep',6/24,//,,,,,,,,,,,,,,,,
358,39M Csaba,8/24,O/O/O,20mmL55,,,,,,,,,,,,,,,
167,4 tonne truck,6/24,//,,,,,,,,,,,,,,,,
359,40M Csaba,8/24,O/O/O,,,,,,,,,,,,,,,,
357,40M Nimród,10/15,M/O/O,40mmL60 Bofors,,,,,,,,,,,,,,,
354,40M Turán I,9/14,K/N/O,40mmL51,,,,,,,,,,,,,,,
355,41M Turán II,9/14,K/N(M)/O,75mmL25,,,,,,,,,,,,,,,
356,43M Zrinyi II,8/13,I/M(L)/N,105mmL20,,,,,,,,,,,,,,,
64,5 tonne SdKfz 6,12/16,//,,,,,,,,,,,,,,,,
168,6 tonne truck,6/24,//,,,,,,,,,,,,,,,,
225,75mm PaK40 auf 39H(f),8/12,N/N/O,75mmL46 (PaK40),,,,,,,,,,,,,,,
208,75mm PaK40 auf Lorraine,9/13,L/N/O,75mmL46 (PaK40),,,,,,,,,,,,,,,
226,75mm PaK40 auf mSPW S307(f),9/13,O/O/O,75mmL46 (PaK40),,,,,,,,,,,,,,,
454,7TP (MG),8/12,N/O/O,,,,,,,,,,,,,,,,
455,7TP 37mm,8/12,N/O/O,37mmL45,,,,,,,,,,,,,,,
65,8 tonne SdKfz 7,12/16,//,,,,,,,,,,,,,,,,
587,A10 Cruiser Mk I,5/8,M/N/O,2 pdr,Unreliable,,,,,,,,,,,,,,
334,A10 Cruiser Mk.II,5/8,M/N/O,2 pdr,Unreliable,,,,,,,,,,,,,,
470,A13 Cruiser Mk I,9/15,M/N/O,2 pdr,,,,,,,,,,,,,,,
335,A13 Cruiser Mk.III,,//,2 pdr,,,,,,,,,,,,,,,
321,A13 Mark II Cruiser Mk.IV,9/15,L/M/O,2 pdr,,,,,,,,,,,,,,,
333,A9 CS,8/12,N/O/O,"3"" Howitzer",Unreliable,,,,,,,,,,,,,,
332,A9 Cruiser Mk.I,8/12,N/O/O,2 pdr,Unreliable,,,,,,,,,,,,,,
498,ACG-1,9/13,M/N/O,47mmL32,Unreliable,,,,,,,,,,,,,,
140,AEC III,8/24,K/N/O,75mmL40,,,,,,,,,,,,,,,
181,AEC Matador,6/24,//,,Medium Gun tow,,,,,,,,,,,,,,
476,AMC-35,9/13,M/N/O,47mmL32,,,,,,,,,,,,,,,
472,AMR-35,3/6,N/O/O,,One man turret,,,,,,,,,,,,,,
400,AT-1,5/10,N/O/O,76.2mmL16,Unreliable,,,,,,,,,,,,,,
552,Albion Heavy Truck,6/24,//,,,,,,,,,,,,,,,,
312,Ansaldo 1ZM,8/12,O/O/O,,,,,,,,,,,,,,,,
234,Archer,6/10,N/O/O,17 pdr,,,,,,,,,,,,,,,
