manual_id,manual_name,manual_armor_f_s_r,manual_movement,manual_weapon1,manual_nation,manual_source,CURRENT_bg_builder_id,CURRENT_bg_name,SUGGESTED_bg_id_1,SUGGESTED_bg_name_1,similarity_1,SUGGESTED_bg_id_2,SUGGESTED_bg_name_2,similarity_2,SUGGESTED_bg_id_3,SUGGESTED_bg_name_3,similarity_3,APPROVED_bg_id,NOTES
55,1 tonne SdKfz 10,?/?/?,"12""/16""",,german,,62,1 tonne SdKfz 10,62,1 tonne SdKfz 10,100.00%,66,12 tonne SdKfz 8,87.50%,67,18 tonne SdKfz 9,87.50%,,
59,12 tonne SdKfz 8,?/?/?,"12""/16""",,german,,66,12 tonne SdKfz 8,66,12 tonne SdKfz 8,100.00%,62,1 tonne SdKfz 10,87.50%,67,18 tonne SdKfz 9,87.50%,,
60,18 tonne SdKfz 9 'Famo',?/?/?,"12""/16""",,german,,,,67,18 tonne SdKfz 9,82.05%,65,8 tonne SdKfz 7,73.68%,62,1 tonne SdKfz 10,71.79%,,
220,20mm Flak Truck,SS/SS/SS,"6""/24""",20mmL55,german,Tobruk,,,585,Medium Radio Truck,60.61%,586,Medium Radio Truck,60.61%,91,Medium Truck,59.26%,,
56,3 tonne SdKfz 11,?/?/?,"12""/16""",,german,,63,3 tonne SdKfz 11,63,3 tonne SdKfz 11,100.00%,62,1 tonne SdKfz 10,87.50%,64,5 tonne SdKfz 6,83.87%,,
221,37mm Flak Truck,SS/SS/SS,"6""/24""",37mmL98,german,Tobruk,,,585,Medium Radio Truck,60.61%,586,Medium Radio Truck,60.61%,91,Medium Truck,59.26%,,
57,5 tonne SdKfz 6,?/?/?,"12""/16""",,german,,64,5 tonne SdKfz 6,64,5 tonne SdKfz 6,100.00%,65,8 tonne SdKfz 7,86.67%,62,1 tonne SdKfz 10,83.87%,,
58,8 tonne SdKfz 7,?/?/?,"12""/16""",,german,,65,8 tonne SdKfz 7,65,8 tonne SdKfz 7,100.00%,67,18 tonne SdKfz 9,90.32%,64,5 tonne SdKfz 6,86.67%,,
101,A10,M/N/O,"5""/8""",2 pdr,british,,,,80,BA-10,75.00%,400,AT-1,57.14%,498,ACG-1,50.00%,,
102,A13,M/N/O,"9""/15""",2 pdr,british,,,,435,M13,66.67%,400,AT-1,57.14%,392,BA-3,57.14%,,
103,A13 MkII,L/M/O,"9""/15""",2 pdr,british,,,,335,A13 Cruiser Mk.III,61.54%,470,A13 Cruiser Mk I,60.87%,334,A10 Cruiser Mk.II,56.00%,,
99,A9,N/O/O,"8""/12""",2 pdr,british,,,,333,A9 CS,57.14%,510,DAF 39,50.00%,400,AT-1,33.33%,,
100,A9 CS,N/O/O,"8""/12""","3 "" How",british,,333,A9 CS,333,A9 CS,100.00%,358,39M Csaba,57.14%,332,A9 Cruiser Mk.I,50.00%,,
141,AEC III,K/N/O,"8""/24""",75mmL40,british,,140,AEC III,140,AEC III,100.00%,410,Crusader III,63.16%,21,Marder III H,63.16%,,
197,AS37,SS/SS/SS,"8""/24""",20mmL65,italian,Tobruk,,,306,SPA AS37,66.67%,246,ZSU-37,60.00%,392,BA-3,50.00%,,
171,AVRE Fascine,I/J/J,"5""/8""",280mm,british,,,,562,Churchill IV Fascine,56.25%,82,Bren Carrier,50.00%,575,Bren Carrier,50.00%,,
182,Ansaldo 1ZM,O/O/O,"8""/12""",2 x MGs,italian,Tobruk,312,Ansaldo 1ZM,312,Ansaldo 1ZM,100.00%,202,Panhard 178,54.55%,508,Landsverk M36,41.67%,,
114,Archer,N/O/O,"6""/10""",17 pdr,british,,234,Archer,234,Archer,100.00%,118,Tetrarch,57.14%,20,Marder II,53.33%,,
20,Armoured Bulldozer,O/O/O,"4""/6""",,"canadian, british",,160,Armoured Bulldozer,160,Armoured Bulldozer,100.00%,434,Bulldozer,66.67%,273,Armoured Jeep,64.52%,,
180,Autoblinda 40,N/O/O,"8""/12""",2x MGs,italian,Tobruk,310,Autoblinda-40,310,Autoblinda-40,92.31%,297,Autoblinda AB41,85.71%,311,Autoblinda-41,84.62%,,
181,Autoblinda 41,N/O/O,"8""/12""",20mmL65,italian,Tobruk,297,Autoblinda AB41,297,Autoblinda AB41,92.86%,311,Autoblinda-41,92.31%,310,Autoblinda-40,84.62%,,
9,Bedford MWD,?/?/?,"6""/24""",,canadian,,176,Bedford MWD,176,Bedford MWD,100.00%,177,Bedford OXD,81.82%,179,Bedford QLT/QLD,69.23%,,
12,Bedford QLD,?/?/?,"6""/24""",,canadian,,,,179,Bedford QLT/QLD,84.62%,176,Bedford MWD,81.82%,177,Bedford OXD,81.82%,,
10,Bedford QLT,?/?/?,"6""/24""",,canadian,,,,179,Bedford QLT/QLD,84.62%,176,Bedford MWD,72.73%,177,Bedford OXD,72.73%,,
242,Bishop,K/K/N,"5""/8""",25 pdr,british,Torch,411,Bishop,411,Bishop,100.00%,264,Nashorn,46.15%,60,RSO,44.44%,,
21,Bren Carrier,O/O/O,"10""/15""",LMG,"canadian, british",,82,Bren Carrier,82,Bren Carrier,100.00%,575,Bren Carrier,100.00%,150,Loyd Carrier,66.67%,,
233,Bren Carrier (AT Rifle),O/O/O,"10""/13""",Boyes AT rifle,british,Tobruk,,,329,Bren Carrier with Boys AT-rifle,74.07%,82,Bren Carrier,68.57%,575,Bren Carrier,68.57%,,
11,CMP,?/?/?,"6""/24""",,canadian,,,,235,Comet,50.00%,490,FCM-36,44.44%,435,M13,33.33%,,
172,CV-33,N/O/O,"9""/13""",MG,italian,Tobruk,300,CV-33,300,CV-33,100.00%,301,CV-35,80.00%,302,CV-35cc,66.67%,,
173,CV-35,N/O/O,"9""/13""",2 x MGs,italian,Tobruk,301,CV-35,301,CV-35,100.00%,302,CV-35cc,83.33%,308,CV-35cr,83.33%,,
175,CV-351f,N/O/O,"9""/13""",F'thrower,italian,Tobruk,303,CV-35lf,303,CV-35lf,85.71%,301,CV-35,83.33%,302,CV-35cc,71.43%,,
174,CV-35cc,N/O/O,"9""/13""",At Rifle,italian,Tobruk,302,CV-35cc,302,CV-35cc,100.00%,308,CV-35cr,85.71%,301,CV-35,83.33%,,
176,CV-35cr,N/O/O,"9""/13""",,italian,Tobruk,308,CV-35cr,308,CV-35cr,100.00%,302,CV-35cc,85.71%,301,CV-35,83.33%,,
163,Centaur AA,K/L/M,"9""/14""",2 x 20mm,british,,128,Centaur AA,128,Centaur AA,100.00%,127,Centaur IV,80.00%,139,Staghound AA,54.55%,,
135,Centaur Bulldozer,K/L/M,"9""/14""",,british,,,,160,Armoured Bulldozer,74.29%,434,Bulldozer,69.23%,128,Centaur AA,59.26%,,
162,Centaur IV,K/L/M,"9""/14""",95mmL20,british,,127,Centaur IV,127,Centaur IV,100.00%,128,Centaur AA,80.00%,567,Vickers IV,60.00%,,
111,Challenger,K/L/M,"10""/15""",17 pdr,british,,114,Challenger,114,Challenger,100.00%,234,Archer,50.00%,492,Char-B,50.00%,,
239,Churchhill I,I/J/J,"5""/8""",2 pdr,british,Torch,419,Churchill I,419,Churchill I,95.65%,418,Churchill II,91.67%,121,Churchill VI,91.67%,,
241,Churchhill II,I/J/J,"5""/8""",2 pdr,british,Torch,418,Churchill II,418,Churchill II,96.00%,122,Churchill VII,92.31%,419,Churchill I,91.67%,,
160,Churchill ARV,I/J/J,"5""/8""",MG,british,,126,Churchill ARV,126,Churchill ARV,100.00%,125,Churchill Ark,92.31%,120,Churchill V,91.67%,,
157,Churchill AVRE,I/J/J,"5""/8""",280mm,british,,123,Churchill AVRE,123,Churchill AVRE,100.00%,126,Churchill ARV,88.89%,125,Churchill Ark,88.89%,,
161,Churchill AVRE Bridge,I/J/J,"5""/8""",280mm,british,,,,123,Churchill AVRE,80.00%,121,Churchill VI,72.73%,126,Churchill ARV,70.59%,,
159,Churchill Ark,I/J/J,"5""/8""",,british,,125,Churchill Ark,125,Churchill Ark,100.00%,126,Churchill ARV,92.31%,123,Churchill AVRE,88.89%,,
158,Churchill Crocodile,E/I/I,"5""/8""",75mmL40,british,,124,Churchill Crocodile,124,Churchill Crocodile,100.00%,419,Churchill I,73.33%,123,Churchill AVRE,72.73%,,
151,Churchill III,I/J/J,"5""/8""",6 pdr,british,,149,Churchill VIII,149,Churchill VIII,96.30%,418,Churchill II,96.00%,122,Churchill VII,92.31%,,
152,Churchill IV,I/J/J,"5""/8""",6 pdr,british,,419,Churchill I,419,Churchill I,95.65%,120,Churchill V,95.65%,418,Churchill II,91.67%,,
153,Churchill V,I/J/J,"5""/8""",95mmL20,british,,120,Churchill V,120,Churchill V,100.00%,121,Churchill VI,95.65%,126,Churchill ARV,91.67%,,
154,Churchill VI,I/J/J,"5""/8""",75mmL40,british,,121,Churchill VI,121,Churchill VI,100.00%,122,Churchill VII,96.00%,419,Churchill I,95.65%,,
